"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Ifitm1",1.07467122246079,6.59292559063141,12.5353640381539,2.67383065100462e-18,5.66002275868087e-16,31.3253585163506,"Ifitm1","UP",17.5728661025577,"UP"
"Ifitm2",0.503023358009639,6.95981837343275,6.04633524532912,1.0742620081698e-07,1.72659638946985e-06,6.98944584564547,"Ifitm2","NOT",6.96888978304528,"NOT"
"Ifitm3",0.228062919170677,8.46965584429226,2.74700812855529,0.00795770218057936,0.0339692001633704,-4.1019882116704,"Ifitm3","NOT",2.09921231848836,"NOT"
"Irf1",0.992319395513349,5.78012415234624,10.0432867255426,2.12325083716375e-14,1.70528266501267e-12,22.4563395152139,"Irf1","UP",13.6729986960078,"UP"
"Irf7",2.34846146252372,2.79008275508484,12.3638702418355,4.84008572533621e-18,9.50850510084574e-16,30.0105784120941,"Irf7","UP",17.3151469462666,"UP"
"Isg15",0.752994267407975,3.3032961898503,5.25360319494096,2.13689777132187e-06,2.54924715777573e-05,4.63817455947366,"Isg15","UP",5.67021625388308,"UP"
"Isg20",1.24286671773573,4.61126715163658,11.2646649363533,2.37149809110788e-16,3.05464614971146e-14,26.9388655979083,"Isg20","UP",15.624977220589,"UP"
"Map3k14",0.38794336621741,5.30924532824898,3.87228075221006,0.00027197457183625,0.0018553109250893,-0.364363961882738,"Map3k14","NOT",3.56547169827253,"NOT"
"Mov10",0.0583398615702546,5.91266232831019,0.665824182794042,0.508111548453308,0.696081977304695,-7.00200240746151,"Mov10","NOT",0.294040934252172,"NOT"
"Ms4a4a",-0.390231404303666,-4.85459086623398,-0.515151956519005,0.608366550834718,0.745469667170604,-5.16875127388107,"Ms4a4a","NOT",0.215834672310121,"NOT"
"Mx1",1.28516700619022,0.803708323003499,3.74084538742584,0.000416437591623876,0.00268389457504678,-0.0326665839043239,"Mx1","UP",3.38045007383506,"UP"
"Mx2",1.76898332769481,-0.261883599965928,3.45222607856864,0.00103290743830381,0.00591188501734693,-0.851814818279387,"Mx2","UP",2.985938595068,"UP"
"Nampt",0.657725240932089,6.67710030397976,7.30801669724894,8.02432568072057e-10,2.12120291736144e-08,11.878976564067,"Nampt","UP",9.09559145305974,"UP"
"Nt5c3",0.0266267793257271,5.19030100389737,0.273955262251929,0.785073326525508,0.872314344377931,-7.04914054561261,"Nt5c3","NOT",0.105089777881283,"NOT"
"Oas1b",2.45692353021539,0.548142756907801,5.93416190091508,1.64976451077079e-07,2.54089788469362e-06,6.70048535228351,"Oas1b","UP",6.78257804304163,"UP"
"Oas2",6.99252636334524,-1.14370629476776,10.9959290836212,6.28176630594477e-16,7.33060651779632e-14,19.3192653542156,"Oas2","UP",15.2019182242455,"UP"
"Oas3",2.49030686509343,4.3447334859667,19.7807733582488,9.25624872962905e-28,2.52760384059981e-24,51.9980031280196,"Oas3","UP",27.0335649837393,"UP"
"Oasl2",1.62377102711338,2.92594815312152,9.54596273709883,1.38628740412779e-13,9.2555868324004e-12,20.5419262063547,"Oasl2","UP",12.8581467227637,"UP"
"P2ry6",-0.442093029380828,-3.00679091863007,-0.444529803942827,0.658281694105386,0.777662842238422,-5.13416159077587,"P2ry6","NOT",0.181588221863044,"NOT"
"Jade2",-0.759391817588362,5.3879083218948,-7.4410113246828,4.77158505463346e-10,1.32647383529421e-08,12.5724594723746,"Jade2","DOWN",9.32133733036598,"DOWN"
"Pml",0.0940711255391831,6.30059399517844,1.11444845436453,0.269594185041434,0.494180600854295,-6.67538763785525,"Pml","NOT",0.569289479464809,"NOT"
"Rsad2",2.26523572727774,2.2204772283006,10.2918920534632,8.39047029939875e-15,7.34870700236903e-13,22.7540224446019,"Rsad2","UP",14.0762136955826,"UP"
"Rtp4",4.30210008213154,1.10244631392692,10.0616390650055,1.98215851169421e-14,1.60459682114008e-12,19.8652154262173,"Rtp4","UP",13.7028616182657,"UP"
"Slc15a3",-1.32992901628872,-1.32708132342595,-1.91009457122659,0.0609726521327352,0.176505906052009,-3.9771233910586,"Slc15a3","NOT",1.2148649140225,"NOT"
"Slc25a28",0.190746208420873,4.83736154499659,1.82915906696597,0.0724171994582012,0.201456445151294,-5.37444703929986,"Slc25a28","NOT",1.14015827437356,"NOT"
"Ssbp3",-0.301754094317769,5.6065303809092,-3.2624525251065,0.00183652125711659,0.00973028443307774,-2.22097698993927,"Ssbp3","NOT",2.73600404047686,"NOT"
"Trim5",1.35256630969836,0.0435097955732083,3.01044181019189,0.00383132156128673,0.0182841485274479,-1.91633185655734,"Trim5","UP",2.41665139632499,"UP"
"Trim25",0.788187227090461,6.675408844139,9.52476788095692,1.50248758807436e-13,9.9342442052171e-12,20.4173563854139,"Trim25","UP",12.8231891069812,"UP"
"Sun2",-0.168748667701366,7.93106145804772,-2.20976102209569,0.0310041820003279,0.104574011596215,-5.22142289156704,"Sun2","NOT",1.50857972238606,"NOT"
"Zc3hav1",-0.0934760311887829,6.69202962752533,-1.1038863075744,0.274112557121256,0.498813247854867,-6.75851059952239,"Zc3hav1","NOT",0.562071068934942,"NOT"
