"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Sf3a2",-0.238831686915437,5.7512206141286,-2.62203139094313,0.0110964994513813,0.0448574552951693,-3.90611567082983,"Sf3a2","NOT",1.9548140039808,"NOT"
"Sf3a3",-0.454317295864722,6.69243256736337,-5.51766550337068,7.9862090071483e-07,1.04294313418555e-05,5.06044552109953,"Sf3a3","NOT",6.09765932806813,"NOT"
"Sf3b1",0.0995001513942031,8.35449069152576,1.22921784627666,0.223857145366536,0.450004937317726,-6.92613457032457,"Sf3b1","NOT",0.650029038677314,"NOT"
"Sf3b2",0.0549839845834548,8.97856786900899,0.747254002516384,0.457870240111111,0.648431835220108,-7.52361788590989,"Sf3b2","NOT",0.339257583105938,"NOT"
"Sf3b3",-0.924766742510016,8.82359229682187,-12.4595662361967,3.47408820377464e-18,7.13285162259204e-16,30.8259898257301,"Sf3b3","DOWN",17.4591591594277,"DOWN"
"Sf3b4",-0.430275096110275,7.14158717782186,-5.33928256870295,1.55507734431496e-06,1.90594690490164e-05,4.3321899654459,"Sf3b4","NOT",5.80824800575364,"NOT"
"Sf3b5",-0.262203578726666,6.18337788839487,-2.97335513439904,0.00425675320175224,0.0200067400482355,-3.10618783394441,"Sf3b5","NOT",2.37092152863992,"NOT"
"Sf3b6",-0.233191266604097,5.29647818838644,-2.41414175216036,0.0188849003212363,0.0698672230147676,-4.29962597059167,"Sf3b6","NOT",1.72388530313464,"NOT"
"Slu7",0.233349720676201,6.04147627498989,2.67059045308386,0.00976265769834397,0.0403307968879686,-3.84348927278041,"Slu7","NOT",2.01043193780428,"NOT"
"Smndc1",0.173168651545013,5.81167442380421,1.91819533680461,0.0599167243411318,0.17426200783718,-5.40162794537363,"Smndc1","NOT",1.22245193762263,"NOT"
"Snrnp200",-0.519887172829971,8.41287054863771,-6.94756987167602,3.27835209339497e-09,7.64491550933701e-08,10.2039042350986,"Snrnp200","NOT",8.48434440524785,"NOT"
"Snrnp27",0.352765471742274,5.00498373743128,3.52356976065352,0.000828154366151759,0.00487589721356319,-1.36556166179785,"Snrnp27","NOT",3.08188870413369,"NOT"
"Snrnp40",-0.558258740187478,6.13840719692016,-6.433004067152,2.42248770361872e-08,4.60660666592733e-07,8.58840290312673,"Snrnp40","NOT",7.61573841872058,"NOT"
