"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm31786",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm30835",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm29797",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm28857",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm28720",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm28411",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm28403",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm27353",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm26515",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm25588",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm25259",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm24840",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm24647",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm24504",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm23402",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm23316",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm23293",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm19164",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm19078",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm19060",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Gm18755",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
