"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"1320","geneComp_00003519","Cd59b","Cd59b","sgC9","sgNTC",0.0309942945945109,TRUE,869
"1321","geneComp_00007123","Fancl","Fancl","sgC9","sgNTC",0.0310560723123508,FALSE,870
"1322","geneComp_00018170","Nfrkb","Nfrkb","sgC9","sgNTC",0.0318168404217946,TRUE,871
"1323","geneComp_00017564","Mrpl48","Mrpl48","sgC9","sgNTC",0.0319243695538957,TRUE,872
"1324","geneComp_00019175","Pbx4","Pbx4","sgC9","sgNTC",0.0319925467481652,TRUE,873
"1325","geneComp_00004815","Dcaf11","Dcaf11","sgC9","sgNTC",0.0319936456507478,TRUE,874
"1326","geneComp_00026202","Zmynd11","Zmynd11","sgC9","sgNTC",0.0323859843232202,TRUE,875
"1327","geneComp_00000427","2810414N06Rik","2810414N06Rik","sgC9","sgNTC",0.0323963531780114,TRUE,876
"1329","geneComp_00003061","Cacnb3","Cacnb3","sgC9","sgNTC",0.0326479003115122,FALSE,877
"1330","geneComp_00025694","Zc3h4","Zc3h4","sgC9","sgNTC",0.0326479003115122,TRUE,878
"1332","geneComp_00007116","Fancc","Fancc","sgC9","sgNTC",0.0329270853941877,TRUE,879
"1333","geneComp_00025990","Zfp668","Zfp668","sgC9","sgNTC",0.0329346697496496,FALSE,880
"1334","geneComp_00024583","Trps1","Trps1","sgC9","sgNTC",0.0331331564752077,FALSE,881
"1335","geneComp_00024107","Tmem254","Tmem254","sgC9","sgNTC",0.0332589918464227,TRUE,882
"1336","geneComp_00015165","Hira","Hira","sgC9","sgNTC",0.0332643643558724,TRUE,883
"1337","geneComp_00007566","G6pc3","G6pc3","sgC9","sgNTC",0.0333182811773513,FALSE,884
"1339","geneComp_00005391","E030030I06Rik","E030030I06Rik","sgC9","sgNTC",0.0335710149911234,FALSE,885
"1340","geneComp_00003353","Ccdc74a","Ccdc74a","sgC9","sgNTC",0.0338967586192934,TRUE,886
"1341","geneComp_00006777","Eps8l1","Eps8l1","sgC9","sgNTC",0.0341054149445705,TRUE,887
"1342","geneComp_00008596","Gm12999","Gm12999","sgC9","sgNTC",0.0342575030983681,TRUE,888
"1344","geneComp_00020431","Ptbp1","Ptbp1","sgC9","sgNTC",0.0344393128151783,TRUE,889
"1345","geneComp_00018003","Ncoa7","Ncoa7","sgC9","sgNTC",0.0346334966811562,FALSE,890
"1346","geneComp_00020345","Prx","Prx","sgC9","sgNTC",0.0348102280762727,FALSE,891
"1347","geneComp_00003711","Cenpl","Cenpl","sgC9","sgNTC",0.035388354807591,TRUE,892
"1348","geneComp_00015155","Hinfp","Hinfp","sgC9","sgNTC",0.0356402245617569,TRUE,893
"1349","geneComp_00016559","Lnx2","Lnx2","sgC9","sgNTC",0.0358286183607875,TRUE,894
"1350","geneComp_00024966","Unc13a","Unc13a","sgC9","sgNTC",0.0358286183607875,TRUE,895
"1351","geneComp_00014815","Gtf2ird2","Gtf2ird2","sgC9","sgNTC",0.0360921033997005,TRUE,896
"1352","geneComp_00024900","Ubr2","Ubr2","sgC9","sgNTC",0.0361350625789167,FALSE,897
"1353","geneComp_00003751","Cep68","Cep68","sgC9","sgNTC",0.0365591781855375,TRUE,898
"1354","geneComp_00020881","Rbsn","Rbsn","sgC9","sgNTC",0.0370572667169904,TRUE,899
"1355","geneComp_00004565","Cul5","Cul5","sgC9","sgNTC",0.037201558727873,TRUE,900
"1357","geneComp_00023048","Spsb3","Spsb3","sgC9","sgNTC",0.0372188260151767,TRUE,901
"1358","geneComp_00025683","Zc3h10","Zc3h10","sgC9","sgNTC",0.037239048002271,TRUE,902
"1359","geneComp_00018642","Ogt","Ogt","sgC9","sgNTC",0.0373355356699643,TRUE,903
"1360","geneComp_00000357","2410004B18Rik","2410004B18Rik","sgC9","sgNTC",0.03749873364348,TRUE,904
"1361","geneComp_00007773","Ggta1","Ggta1","sgC9","sgNTC",0.0377296757239998,FALSE,905
"1362","geneComp_00000149","1700029J07Rik","1700029J07Rik","sgC9","sgNTC",0.0378139157752016,TRUE,906
"1363","geneComp_00018566","Nxpe4","Nxpe4","sgC9","sgNTC",0.0379093116893963,FALSE,907
"1364","geneComp_00022146","Shank2","Shank2","sgC9","sgNTC",0.0380181521150559,TRUE,908
"1365","geneComp_00023778","Tgif2","Tgif2","sgC9","sgNTC",0.0380412589376226,TRUE,909
"1366","geneComp_00019299","Pde2a","Pde2a","sgC9","sgNTC",0.0380653945906228,FALSE,910
"1367","geneComp_00001676","Akr1c18","Akr1c18","sgC9","sgNTC",0.0381895771447003,FALSE,911
"1369","geneComp_00026093","Zfp938","Zfp938","sgC9","sgNTC",0.0387938136380171,FALSE,912
"1370","geneComp_00018167","Nfkbie","Nfkbie","sgC9","sgNTC",0.0389270806494419,FALSE,913
"1371","geneComp_00019551","Piga","Piga","sgC9","sgNTC",0.0389270806494419,TRUE,914
"1372","geneComp_00017086","Mecp2","Mecp2","sgC9","sgNTC",0.0392293507415056,FALSE,915
"1373","geneComp_00016478","Lig4","Lig4","sgC9","sgNTC",0.0395780604979105,FALSE,916
"1375","geneComp_00022343","Slc25a14","Slc25a14","sgC9","sgNTC",0.039747624501347,TRUE,917
"1376","geneComp_00001172","AA467197","AA467197","sgC9","sgNTC",0.039855866433346,TRUE,918
"1378","geneComp_00004997","Dhrs13","Dhrs13","sgC9","sgNTC",0.0400519809631045,TRUE,919
"1379","geneComp_00017730","Mtrr","Mtrr","sgC9","sgNTC",0.0407745082112556,TRUE,920
"1380","geneComp_00003738","Cep20","Cep20","sgC9","sgNTC",0.0409002339014869,TRUE,921
"1382","geneComp_00007046","Fam193b","Fam193b","sgC9","sgNTC",0.0414896286161828,FALSE,922
"1383","geneComp_00021361","Rpl35","Rpl35","sgC9","sgNTC",0.0417886057156305,TRUE,923
"1385","geneComp_00018584","Oas1g","Oas1g","sgC9","sgNTC",0.0420480103396767,TRUE,924
"1386","geneComp_00024008","Tmem144","Tmem144","sgC9","sgNTC",0.0421982707031686,FALSE,925
"1387","geneComp_00002604","Bbs1","Bbs1","sgC9","sgNTC",0.0422936435023489,TRUE,926
"1388","geneComp_00024923","Uck2","Uck2","sgC9","sgNTC",0.0424666938909854,TRUE,927
"1389","geneComp_00012902","Gm49164","Gm49164","sgC9","sgNTC",0.0426594646656101,FALSE,928
"1390","geneComp_00016917","Map4k3","Map4k3","sgC9","sgNTC",0.0427205655626891,FALSE,929
"1391","geneComp_00025117","Vangl2","Vangl2","sgC9","sgNTC",0.0432289173555963,FALSE,930
"1392","geneComp_00015281","Hoxb3os","Hoxb3os","sgC9","sgNTC",0.0432990845523382,TRUE,931
"1393","geneComp_00021208","Rnf8","Rnf8","sgC9","sgNTC",0.0433500158768958,TRUE,932
"1394","geneComp_00023397","Synj2","Synj2","sgC9","sgNTC",0.0437663820878442,FALSE,933
"1395","geneComp_00005533","Efna5","Efna5","sgC9","sgNTC",0.0438396494495043,TRUE,934
"1396","geneComp_00019657","Pknox2","Pknox2","sgC9","sgNTC",0.0438401841467029,TRUE,935
"1397","geneComp_00000635","4930522L14Rik","4930522L14Rik","sgC9","sgNTC",0.0444162298525972,TRUE,936
"1398","geneComp_00020725","Ralgds","Ralgds","sgC9","sgNTC",0.044749181348626,FALSE,937
"1399","geneComp_00024055","Tmem185b","Tmem185b","sgC9","sgNTC",0.0447495986851164,TRUE,938
"1400","geneComp_00024867","Ube2q1","Ube2q1","sgC9","sgNTC",0.044895006264824,TRUE,939
"1402","geneComp_00015516","Ifngr2","Ifngr2","sgC9","sgNTC",0.0451349058515801,TRUE,940
"1404","geneComp_00022518","Slc4a4","Slc4a4","sgC9","sgNTC",0.045838727921358,FALSE,941
"1405","geneComp_00013489","Gm55594","Gm55594","sgC9","sgNTC",0.0461203828038887,TRUE,942
"1406","geneComp_00025727","Zdhhc20","Zdhhc20","sgC9","sgNTC",0.0463200089049382,TRUE,943
"1408","geneComp_00015102","Hemk1","Hemk1","sgC9","sgNTC",0.0467019196837849,TRUE,944
"1409","geneComp_00010537","Gm26740","Gm26740","sgC9","sgNTC",0.0468783318387444,TRUE,945
"1410","geneComp_00019622","Pitpnb","Pitpnb","sgC9","sgNTC",0.0471134023963936,FALSE,946
"1411","geneComp_00005169","Dnajc5","Dnajc5","sgC9","sgNTC",0.0472814694243925,TRUE,947
"1412","geneComp_00005747","Enpp3","Enpp3","sgC9","sgNTC",0.04761014598643,TRUE,948
"1413","geneComp_00001022","9930111J21Rik1","9930111J21Rik1","sgC9","sgNTC",0.0476183256890067,TRUE,949
"1414","geneComp_00020554","Pxmp2","Pxmp2","sgC9","sgNTC",0.0476220288681728,TRUE,950
"1415","geneComp_00000271","1810034E14Rik","1810034E14Rik","sgC9","sgNTC",0.0483153610682795,FALSE,951
"1416","geneComp_00006625","ENSMUSG00000121319","ENSMUSG00000121319","sgC9","sgNTC",0.0484507388326583,TRUE,952
"1418","geneComp_00019007","Oxct1","Oxct1","sgC9","sgNTC",0.0485917860099137,TRUE,953
"1419","geneComp_00019905","Polq","Polq","sgC9","sgNTC",0.0490805472397856,TRUE,954
"1420","geneComp_00018152","Nfatc4","Nfatc4","sgC9","sgNTC",0.0491943045500351,TRUE,955
"1421","geneComp_00025666","Zbtb43","Zbtb43","sgC9","sgNTC",0.049225566851981,FALSE,956
"1422","geneComp_00017066","Mdga1","Mdga1","sgC9","sgNTC",0.0494575558671254,TRUE,957
"1423","geneComp_00004727","D430040D24Rik","D430040D24Rik","sgC9","sgNTC",0.0496257501482317,TRUE,958
"1424","geneComp_00008967","Gm14295","Gm14295","sgC9","sgNTC",0.0498782957814904,TRUE,959
